Timestamp,What is the name of the film?,Give a description of the film,Rate movie on a scale from 0–5:,How scary was the movie in general?,What was the setting of the zombie encounter?,Is or was there an apocalypse (multiple zombies over taking world)?,Select all that apply about the setting:,Select all that apply about the zombies:,List any other important zombie traits,How scared of this type of zombie were you?,Film Genre,"Is it a ""real""/""classic"" zombie?",Year of release,Method of infection/turning,Cause of zombism,Actual ranking
1/17/2026 23:27:11,Anna and the Apocalypse,"Musical but in a zombie movie. Anna and her friends, a group of high schoolers, must figure out how to survive the zombie apocalypse. ",3,4,"- City
- Christmas tree farm 
- Bowling alley
- School",Yes,Virus being spread,"Can infect others, Rip people apart, Decaying, Freaky eyes, Staggery walk, Dark eye circles, Can have missing body parts, Pack behaviour, Cannibalistic","- Easily bodied but a bunch of teenagers with no training
- Heads can move when not attached to bodies
- Attracted to light",6,Musical,Yes,2017,Getting bit,Virus,13
1/18/2026 12:30:20,The Autopsy of Jane Doe,"Coroner and his son conduct the autopsy of a Jane Doe found buried at the scene of a gruesome murder, but begin to encounter things that cannot be explained.",4,8,Morgue,No,No survivors,"Reanimation, Voodoo/magic, Cannot be killed, Sentience, Freaky eyes, Grey skin, Can have missing body parts","- Can reanimate corpses
- Telekinesis
- Didn't move the whole fucking movie
- Innocent accused witch who was tortured and ritual brought her back to life",4,Psychological,No,2016,Cannot infect others,Voodoo/witchcraft,20
1/19/2026 23:18:09,White Zombie,Plantation owner tries to break up a newlywed couple by employing a local witch doctor/zombie slave owner to kill and reanimate the bride in order to marry her.,1,2,"- Castle
- Forest",No,,"Reanimation, Voodoo/magic, Freaky eyes, Staggery walk, Pack behaviour","- More like hypnotism, don't even have to be dead
- Literally killed via lemming cliff dive
- Look exactly like humans but with a bored look in their eyes",1,Romance,Not a zombie,1932,Cannot infect others,Voodoo/witchcraft,29
1/20/2026 17:25:22,Pontypool,A small radio station in the city of Pontypool breaks the story of a language-based zombie outbreak live as it happens. ,4,7,"- Radio station
- Grain silo",Yes,"Virus being spread, Cure exists, No survivors","Fast zombie, Ability to speak, Can infect others, Rip people apart, Pack behaviour, Cannibalistic","- Babble words
- Transmitted through language, ""understanding"" an English word will cause speaker to become infected
- Attracted to words and will seek a target to kill if infected
- Throws up guts and dies if cannot reach its target in time
- Infection cured if speaker can lose understanding of their word (eg. kill=kiss)",5,Psychological,No,2008,Realization,Virus,14
1/21/2026 16:43:12,Zombieland,"An unlikely family: the last survivors of the zombie apocalypse team up on a road trip to an amusement park, finding life, laughs, and love along the way.",3.5,5,"- City
- Amusement park
- Apartment complex
- Grocery store
- Gas station",Yes,Virus being spread,"Fast zombie, Can infect others, Rip people apart, Intelligent (but not sentient), Decaying, Freaky eyes, Can have missing body parts, Pack behaviour, Cannibalistic","- Can be fooled by dressing in zombie makeup
- Respect plot armour",8,Comedy,Yes,2009,Getting bit,Virus,6
1/24/2026 17:41:40,The Cured,"The zombie apocalypse has happened and most infected have been cured, but the people still retain the memories of what they did when they were zombies and reintegration with normal society has challenges.",5,8,"- City
- Military base
- House
- School",Yes,"Virus being spread, Cure exists","Fast zombie, Can infect others, Rip people apart, Intelligent (but not sentient), Grey skin, Pack behaviour, Sentience, Cannibalistic","- Heavy breathing
- Prominent veins
- Pack familiarity and communication",7,Drama,Yes,2017,Getting bit,Virus,7
1/24/2026 22:08:17,[Rec],A film crew records a documentary as an apartment complex is quarantined during the outbreak of a zombie virus.,5,9,Apartment complex,No,"Virus being spread, No survivors","Fast zombie, Can infect others, Rip people apart, Cannibalistic","- Screaming
- Horror from this movie comes from no one in it ever having seen a zombie film before",9,Horror,Yes,2007,Getting bit,Virus,4
1/25/2026 14:47:06,The Dead Don't Die,"After polar fracking tilts the earth off its axis, the dead rise in the small town of Centerville, but its people are prepared.",2,2,"- City
- Morgue
- Police department
- School
- Graveyard",Yes,No survivors,"Reanimation, Sentience, Ability to speak, Rip people apart, Decaying, Staggery walk, Grey skin, Dark eye circles, Pack behaviour, Cannibalistic","- Earth is off its axis causes zombies
- Only come out at night
- Repeat phrases over and over
- Seems like the easiest zombie invasion ever to avoid but everyone still dies anyway",4,Comedy,Yes,2019,Dying,Astrology,21
1/26/2026 21:30:41,Let Sleeping Corpses Lie,"After an unlikely couple become suspects in a murder investigation, they must convince the police that the culprit was actually the living dead and survive to tell the tale.",4,4,"- Medical center
- Hotel
- Farm
- Graveyard",No,,"Reanimation, Rip people apart, Intelligent (but not sentient), Freaky eyes, Staggery walk, Cannibalistic","- Patient 0 by ultrasonic radiation used to remove insects in fields; others reanimated using blood of the living
- Bludgeons people to death
- Raspy breathing
- Teleporting powers? Walks slow but still manages to catch up to people running
- Fire bad",3,Horror,No,1974,Dying,Radiation/EMF,24
1/27/2026 17:53:56,The Girl With All the Gifts,"After their military base is overrun by Hungries, a few personnel and young zombie-hybrid girl must make the trek to a new location in order to survive.",2.5,6,"- Medical center
- Military base
- Forest
- City
- Grocery store",Yes,"Virus being spread, No survivors","Fast zombie, Fungal zombie, Can infect others, Rip people apart, Decaying, Pack behaviour, Cannibalistic","- Weird shit all over skin (like mud clumps?)
- Sunbathe for photosynthesis in day
- Caused by spores",7,Adventure,Yes,2016,"Spore, Getting bit, Consuming infected flesh",Plant/fungus,8
1/28/2026 19:22:21,Warm Bodies,"When a zombie named R saves a living girl from an attack, the two form a unique relationship that might change the world.",3.5,3,"- City
- Medical center
- Airport
- House
- Stadium
- Military base",Yes,"Virus being spread, Cure exists","Fast zombie, Sentience, Can infect others, Rip people apart, Staggery walk, Grey skin, Dark eye circles, Pack behaviour, Cannibalistic","- Normal zombies eventually pick off their skin and become unfeeling ""Boneys""
- Get memories of person if eat brain
- Generally slow but can run fast
- Cure is love or something",2,Romance,Yes,2013,Getting bit,Unknown,25
1/29/2026 18:03:19,The Spore,The interconnected stories of ten different people as they deal with a spore-based plague causing people to become withered and violent.,2.5,7,"- Forest
- Medical center
- Cabin
- House
- Garage",Yes,Virus being spread,"Fungal zombie, Can infect others, Rip people apart, Intelligent (but not sentient), Decaying, Can have missing body parts","- Black moldy skin
- Fungus spores take over host body, make them violent, then kills them in <1 day
- Weird mouth creature popped out of one of the infected
- Not even really zombies
- Every infected person looked and did something different so idk",7,Horror,Not a zombie,2021,"Spore, Getting bit, Consuming infected flesh",Plant/fungus,9
1/30/2026 18:48:48,28 Days Later,A man wakes from a coma 28 days after the zombie apocalypse has begun. He must quickly learn how the new world works and what his place in it is.,4,6,"- City
- Gas station
- Apartment complex
- Military base
- Forest",Yes,Virus being spread,"Fast zombie, Can infect others, Intelligent (but not sentient), Freaky eyes, Dark eye circles, Cannibalistic","- Infected by infected blood entering the body (ingestion, through wound, etc)
- Very violent, causes ""rage""
- Only in Britain LMAO
- Infection came from roided up chimps",6,Adventure,Yes,2002,Getting bit,Rage,12
